"customer_id","total_rfm_score","rfm_category_combination","customer_segment"
"18287",11,"344","SLIPPING AWAY, CANNOT LOSE"
"18286",6,"123","CHURNED CUSTOMER"
"18285",4,"112","CHURNED CUSTOMER"
"18284",4,"112","CHURNED CUSTOMER"
"18283",12,"444","LOYAL"
"18282",7,"421","NEW CUSTOMERS"
"18281",5,"221","POTENTIAL CHURNERS"
"18280",6,"222","POTENTIAL CHURNERS"
"18279",3,"111","CHURNED CUSTOMER"
"18278",7,"322","POTENTIAL CHURNERS"
"18277",9,"333","ACTIVE"
"18276",9,"333","ACTIVE"
"18275",5,"122","CANNOT BE DEFINED"
"18274",5,"311","NEW CUSTOMERS"
"18273",9,"432","ACTIVE"
"18272",12,"444","LOYAL"
"18271",5,"122","CANNOT BE DEFINED"
"18270",7,"322","POTENTIAL CHURNERS"
"18269",4,"211","CHURNED CUSTOMER"
"18268",8,"233","POTENTIAL CHURNERS"
"18267",3,"111","CHURNED CUSTOMER"
"18266",3,"111","CHURNED CUSTOMER"
"18265",7,"322","POTENTIAL CHURNERS"
"18264",4,"112","CHURNED CUSTOMER"
"18263",10,"433","LOYAL"
"18262",6,"222","POTENTIAL CHURNERS"
"18261",6,"321","ACTIVE"
"18260",10,"244","SLIPPING AWAY, CANNOT LOSE"
"18259",12,"444","LOYAL"
"18258",7,"133","SLIPPING AWAY, CANNOT LOSE"
"18257",11,"344","SLIPPING AWAY, CANNOT LOSE"
"18256",4,"121","CHURNED CUSTOMER"
"18255",6,"321","ACTIVE"
"18254",3,"111","CHURNED CUSTOMER"
"18253",3,"111","CHURNED CUSTOMER"
"18252",10,"343","SLIPPING AWAY, CANNOT LOSE"
"18251",11,"344","SLIPPING AWAY, CANNOT LOSE"
"18250",6,"222","POTENTIAL CHURNERS"
"18249",6,"411","NEW CUSTOMERS"
"18248",6,"222","POTENTIAL CHURNERS"
"18247",5,"122","CANNOT BE DEFINED"
"18246",9,"432","ACTIVE"
"18245",12,"444","LOYAL"
"18244",5,"122","CANNOT BE DEFINED"
"18243",4,"112","CHURNED CUSTOMER"
"18242",11,"344","SLIPPING AWAY, CANNOT LOSE"
"18241",12,"444","LOYAL"
"18240",6,"312","CANNOT BE DEFINED"
"18239",8,"233","POTENTIAL CHURNERS"
"18238",3,"111","CHURNED CUSTOMER"
"18237",10,"433","LOYAL"
"18236",10,"343","SLIPPING AWAY, CANNOT LOSE"
"18235",9,"333","ACTIVE"
"18234",3,"111","CHURNED CUSTOMER"
"18233",5,"212","CHURNED CUSTOMER"
"18232",8,"332","ACTIVE"
"18231",10,"244","SLIPPING AWAY, CANNOT LOSE"
"18230",12,"444","LOYAL"
"18229",12,"444","LOYAL"
"18228",7,"322","POTENTIAL CHURNERS"
"18227",6,"222","POTENTIAL CHURNERS"
"18226",11,"344","SLIPPING AWAY, CANNOT LOSE"
"18225",12,"444","LOYAL"
